,Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
85,Tim Mayza,34,0,Maj-NL,"Aug 9, 2026",Philadelphia,,Toronto,1,0,,,,1.0,0,0,0,1,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,16,0.63,0.19,0.25,0.0,0.0,0.0,1.0,0.0,18.0,2.0,641835
86,Easton McGee,28,0,Maj-AL,"Aug 9, 2026",Kansas City,,Chicago,1,0,,,,2.0,5,6,6,2,3,2,0,27.0,,11,2,0,0,0,0,0,0,0,13,41,0.68,0.12,0.1,0.25,0.13,0.0,3.5,0.5,13.5,1.5,668834
87,Michael McGreevy,25,0,Maj-NL,"Aug 9, 2026",St. Louis,,Colorado,1,1,,,,5.2,8,3,3,2,4,1,0,4.76,43,24,2,0,0,1,0,0,0,0,26,102,0.58,0.09,0.1,0.2,0.25,0.2,1.765,0.368,6.4,2.0,700241
88,Trevor Megill,32,0,Maj-NL,"Aug 9, 2026",Milwaukee,,Minnesota,1,0,,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,13,0.69,0.23,0.15,1.0,0.0,0.0,0.0,0.0,18.0,,656730
89,Troy Melton,25,0,Maj-AL,"Aug 9, 2026",Detroit,@,San Francisco,1,1,,,,6.0,4,1,0,1,5,0,0,0.0,66,21,0,1,0,0,0,0,0,0,22,92,0.65,0.12,0.15,0.19,0.19,0.19,0.833,0.25,7.5,5.0,675512
90,Spencer Miles,25,0,Maj-AL,"Aug 9, 2026",Toronto,@,Philadelphia,1,0,,,,0.1,0,0,0,0,1,0,0,0.0,,1,0,0,0,0,0,0,0,0,1,4,0.75,0.25,0.25,,,,0.0,,27.0,,693686
91,Erik Miller,28,0,Maj-AL,"Aug 9, 2026",Boston,,Athletics,1,1,,,,1.0,2,1,0,0,2,0,0,0.0,49,5,0,0,0,0,0,0,0,0,5,17,0.65,0.06,0.29,1.0,0.0,0.0,2.0,0.667,18.0,,669062
92,A.J. Minter,32,0,Maj-AL,"Aug 9, 2026",Minnesota,@,Milwaukee,1,0,,,,1.1,1,0,0,1,0,0,0,0.0,,4,0,0,1,0,0,0,0,0,6,16,0.56,0.19,0.0,0.8,0.0,0.2,1.5,0.25,0.0,0.0,621345
93,Jacob Misiorowski,24,0,Maj-NL,"Aug 9, 2026",Milwaukee,,Minnesota,1,1,,,,6.0,4,3,3,1,9,2,0,4.5,60,22,0,0,0,0,0,0,0,0,23,94,0.74,0.14,0.21,0.38,0.0,0.23,0.833,0.182,13.5,9.0,694819
94,Jordan Montgomery,33,0,Maj-AL,"Aug 9, 2026",Texas,,Baltimore,1,0,,,,4.0,6,3,3,1,2,2,0,6.75,,18,0,0,0,0,0,2,0,0,19,79,0.62,0.19,0.05,0.5,0.19,0.06,1.75,0.286,4.5,2.0,656756
95,Mason Montgomery,26,0,Maj-NL,"Aug 9, 2026",Pittsburgh,,New York,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.67,0.2,0.27,,,,0.0,,27.0,,682254
96,Jovani Mor\xc3\xa1n,29,0,Maj-AL,"Aug 9, 2026",Boston,,Athletics,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.67,0.13,0.2,0.5,0.0,0.0,0.0,0.0,9.0,,663558
97,Andrew Morris,24,0,Maj-AL,"Aug 9, 2026",Minnesota,@,Milwaukee,1,0,,,,0.2,0,0,0,2,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,4,14,0.36,0.07,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,702193
